 NUMERO DE PATAMARES
 XX
  3
ANO   DURACAO MENSAL DOS PATAMARES DE CARGA
      JAN     FEV     MAR     ABR     MAI     JUN     JUL     AGO     SET     OUT     NOV     DEZ   
      X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX  X.XXXX
   2029 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2030 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2031 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2032 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2033 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2034 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2035 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2036 1.1467 1.1436 1.1606 1.1570 1.1570 1.1648 1.1513 1.1595 1.1502 1.1413 1.1589 1.1397
        1.0647 1.0650 1.0865 1.0794 1.0531 1.0587 1.0446 1.0566 1.0798 1.0711 1.0853 1.0758
        0.8933 0.8935 0.8916 0.8775 0.8638 0.8595 0.8495 0.8605 0.8627 0.8704 0.8875 0.8905
   2
   2021 1.2284 1.2150 1.2107 1.2176 1.2071 1.1972 1.1950 1.1988 1.2042 1.2168 1.2290 1.1883
        1.0783 1.0662 1.0779 1.0842 1.0792 1.0806 1.0777 1.0789 1.0990 1.1003 1.1024 1.0747
        0.8679 0.8694 0.8438 0.8417 0.8165 0.8133 0.8119 0.8084 0.8307 0.8426 0.8484 0.8574
   2022 1.2229 1.2090 1.2177 1.2242 1.1961 1.1970 1.2059 1.1878 1.2036 1.2171 1.2290 1.1889
        1.0753 1.0627 1.0817 1.0883 1.0721 1.0807 1.0856 1.0714 1.0989 1.1018 1.1024 1.0745
        0.8615 0.8629 0.8496 0.8480 0.8135 0.8134 0.8147 0.8058 0.8311 0.8418 0.8484 0.8675
   2023 1.2126 1.2150 1.2101 1.2362 1.1954 1.1966 1.2072 1.1870 1.2099 1.2112 1.2290 1.2067
        1.0685 1.0662 1.0770 1.0957 1.0717 1.0805 1.0855 1.0712 1.1030 1.0988 1.1024 1.0863
        0.8594 0.8694 0.8447 0.8504 0.8142 0.8138 0.8138 0.8066 0.8376 0.8349 0.8484 0.8728
   2024 1.2116 1.2125 1.2346 1.1974 1.2043 1.2075 1.1903 1.1927 1.2097 1.1933 1.2290 1.2032
        1.0679 1.0647 1.0911 1.0728 1.0781 1.0875 1.0733 1.0757 1.1030 1.0884 1.1024 1.0851
        0.8602 0.8679 0.8590 0.8352 0.8190 0.8175 0.8028 0.8146 0.8255 0.8271 0.8484 0.8651
   2025 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2026 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2027 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2028 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2029 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2030 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2031 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2032 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
        0.8610 0.8629 0.8587 0.8418 0.8220 0.8160 0.8036 0.8172 0.8278 0.8320 0.8484 0.8623
   2033 1.2111 1.2090 1.2347 1.2176 1.2012 1.2090 1.1895 1.2037 1.1936 1.1883 1.2290 1.1946
        1.0669 1.0627 1.0917 1.0839 1.0763 1.0886 1.0731 1.0834 1.0931 1.0852 1.1024 1.0789
