NUS  TIPO  VALORNEW MI ANOI MF ANOF  COMENTARIO
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 111 POTEF     0.00  1 2023          ARACATI
 112 POTEF    30.97  5 2021 12 2025  BAHIA I
 112 POTEF     0.00  1 2026          BAHIA I
 112 FCMAX    97.97  5 2021 12 2025  BAHIA I
 112 FCMAX     0.00  1 2026          BAHIA I
 113 POTEF    11.48  5 2021 12 2022  BATURITE
 113 FCMAX     0.00  5 2021          BATURITE
 113 POTEF     0.00  1 2023          BATURITE
 116 POTEF    56.28  5 2021          PARNAIBA IV
 116 FCMAX    99.99  5 2021          PARNAIBA IV
 117 POTEF    13.12  5 2021 12 2022  CAMPO MAIOR
 117 FCMAX     0.00  5 2021          CAMPO MAIOR
 117 POTEF     0.00  1 2023          CAMPO MAIOR
 119 POTEF    14.76  5 2021 12 2022  CAUCAIA
 119 FCMAX     0.00  5 2021          CAUCAIA
 119 POTEF     0.00  1 2023          CAUCAIA
 121 POTEF    13.12  5 2021 12 2022  CRATO
 121 FCMAX     0.00  5 2021          CRATO
 121 POTEF     0.00  1 2023          CRATO
 125 POTEF    14.76  5 2021 12 2022  ENGUIA PECEM
 125 FCMAX     0.00  5 2021          ENGUIA PECEM
 125 POTEF     0.00  1 2023          ENGUIA PECEM
 127 POTEF    14.76  5 2021 12 2022  IGUATU
 127 FCMAX     0.00  5 2021          IGUATU
 127 POTEF     0.00  1 2023          IGUATU
 133 POTEF    14.76  5 2021 12 2022  JUAZEIRO N
 133 FCMAX     0.00  5 2021          JUAZEIRO N
 133 POTEF     0.00  1 2023          JUAZEIRO N
 135 POTEF    13.12  5 2021 12 2022  MARAMBAIA
 135 FCMAX     0.00  5 2021          MARAMBAIA
 135 POTEF     0.00  1 2023          MARAMBAIA
 137 POTEF  1338.30 11 2021          GNA I
 137 FCMAX   100.00 11 2021          GNA I
 138 POTEF    13.12  5 2021 12 2022  NAZARIA
 138 FCMAX     0.00  5 2021          NAZARIA
 138 POTEF     0.00  1 2023          NAZARIA
 140 POTEF   590.75  5 2021          MAUA 3
 140 GTMIN   264.00  5 2021          MAUA 3
 140 FCMAX    98.69  5 2021          MAUA 3
 144 POTEF   136.20  5 2021 12 2023  PETROLINA
 144 POTEF     0.00  1 2024          PETROLINA
 144 FCMAX    96.92  5 2021 12 2023  PETROLINA
 144 FCMAX     0.00  1 2024          PETROLINA
 146 POTEF    41.40  5 2021          STA VITORIA
 146 FCMAX    93.00  5 2021          STA VITORIA
 147 POTEF    28.02  5 2021          PROSPERIDADE
 151 POTEF    53.12  5 2021 12 2023  POTIGUAR
 151 POTEF     0.00  1 2024          POTIGUAR
 151 FCMAX   100.00  5 2021 12 2023  POTIGUAR
 151 FCMAX     0.00  1 2024          POTIGUAR
 152 POTEF    49.73  5 2021 12 2024  TERMOCABO
 152 FCMAX   100.00  5 2021 12 2024  TERMOCABO
 152 POTEF     0.00  1 2025          TERMOCABO
 152 FCMAX     0.00  1 2025          TERMOCABO
 153 POTEF    44.44  5 2021 12 2022  DAIA
 153 POTEF     0.00  1 2023          DAIA
 153 FCMAX     0.00  5 2021          DAIA
 155 POTEF   140.33  5 2021 12 2023  GOIANIA II
 155 POTEF     0.00  1 2024          GOIANIA II
 155 FCMAX    97.00  5 2021 12 2023  GOIANIA II
 155 FCMAX     0.00  1 2024          GOIANIA II
 156 POTEF   350.00  5 2021 12 2027  CANDIOTA 3
 156 GTMIN   197.23  5 2021 12 2027  CANDIOTA 3
 156 POTEF     0.00  1 2028          CANDIOTA 3
 156 GTMIN     0.00  1 2028          CANDIOTA 3
 159 POTEF   143.04  5 2021 12 2023  TERMOMANAUS
 159 POTEF     0.00  1 2024          TERMOMANAUS
 159 FCMAX     0.00  1 2024          TERMOMANAUS
 160 POTEF    94.08  5 2021 12 2023  PAU FERRO I
 160 POTEF     0.00  1 2024          PAU FERRO I
 160 FCMAX     0.00  1 2024          PAU FERRO I
 161 POTEF    66.40  5 2021 12 2023  POTIGUAR III
 161 POTEF     0.00  1 2024          POTIGUAR III
 161 FCMAX    82.50  5 2021 12 2023  POTIGUAR III
 161 FCMAX     0.00  1 2024          POTIGUAR III
 162 POTEF   144.00  4 2023          PECEM II
 162 FCMAX   100.00  4 2023          PECEM II
 163 POTEF   365.00  5 2021 12 2027  P. PECEM II
 163 FCMAX   100.00  5 2021 12 2027  P. PECEM II
 163 POTEF     0.00  1 2028          P. PECEM II
 163 FCMAX     0.00  1 2028          P. PECEM II
 164 POTEF   147.16  5 2021 12 2023  MURICY
 164 POTEF     0.00  1 2024          MURICY
 164 FCMAX     0.00  1 2024          MURICY
 166 POTEF   150.00  5 2021 12 2023  Camacari PI
 166 POTEF     0.00  1 2024          Camacari PI
 166 FCMAX     0.00  1 2024          Camacari PI
 167 POTEF   720.28  5 2021 12 2026  P. PECEM I
 167 FCMAX    99.96  5 2021 12 2026  P. PECEM I
 167 POTEF     0.00  1 2027          P. PECEM I
 167 FCMAX     0.00  1 2027          P. PECEM I
 169 POTEF     4.00  5 2021 12 2023  Cisframa
 169 POTEF     0.00  1 2024          Cisframa
 170 POTEF   381.26  5 2021 12 2026  SUAPE II
 170 POTEF     0.00  1 2027          SUAPE II
 170 FCMAX     0.00  1 2027          SUAPE II
 171 POTEF   399.99  5 2021  3 2024  NORTEFLU-1
 171 FCMAX   100.00  5 2021  3 2024  NORTEFLU-1
 171 GTMIN   399.99  5 2021  3 2024  NORTEFLU-1
 171 POTEF     0.00  4 2024          NORTEFLU-1
 172 POTEF   100.00  5 2021  3 2024  NORTEFLU-2
 172 FCMAX   100.00  5 2021  3 2024  NORTEFLU-2
 172 POTEF     0.00  4 2024          NORTEFLU-2
 173 POTEF   200.00  5 2021  3 2024  NORTEFLU-3
 173 FCMAX   100.00  5 2021  3 2024  NORTEFLU-3
 173 POTEF     0.00  4 2024          NORTEFLU-2
 174 POTEF   126.78  5 2021  3 2024  NORTEFLU-4
 174 FCMAX   100.00  5 2021  3 2024  NORTEFLU-4
 174 POTEF     0.00  4 2024          NORTEFLU-4
 176 POTEF   360.14  5 2021 12 2026  PORTO ITAQUI
 176 FCMAX   100.00  5 2021 12 2026  PORTO ITAQUI
